character_id,character_name_kr,character_name_en
C_094,스팟노출높음,High Spot Exposure
C_095,카타르의존도높음,High Dependence on Qatar
C_096,수주공백존재,OrderGapExists
C_097,기업규모작음,Small Company Size
C_098,고변동성,High Volatility
C_099,국제선강점,International Route Strength
C_100,프리미엄,Premium
C_101,전략변화:프리미엄화,Strategic Shift: Premiumization
C_102,반도체·통신·하드웨어중심,Semiconductor, Communication & Hardware Focus
C_103,반도체및신소재중심,Semiconductors & New Materials Focus
C_104,금현물ETF,Gold Spot ETF
C_105,금광기업ETF,Gold Mining Companies ETF
C_106,금탐사ETF,Gold Exploration ETF
C_107,귀금속종합ETF,Comprehensive Precious Metals ETF
C_108,높은공매도비율,High Short Interest Ratio
C_109,SNS언급량많음,High Social Media Mentions
C_110,클라우드 기반 양자 서비스,Cloud-based quantum Services
C_111,양자 보안 수혜,Quantum Security Beneficiary
C_112,양자기술,Quantum Technology
C_113,미래형 인프라,Futuristic Infrastructure
C_114,VIP중심,VIP-focused
C_115,지역규제/정책리스크민감,Sensitive to Regional Regulation / Policy Risk
C_116,미국대중임의소비,US Mass Discretionary Consumption
C_117,중국카지노규제민감,Sensitive to China Casino Regulation
C_118,코비드후미국철수,Post-COVID U.S. Withdrawal
C_119,산업재비중30%,Industrial Exposure 30%
C_120,공급망내위상높음,High Supply Chain Position
C_121,규제/인가리스크,Regulatory / Permitting Risk
C_122,고배당,High Dividend
C_123,안정적현금흐름,Stable Cash Flow
C_124,신재생모멘텀,Renewable Momentum
C_125,ESS주도주,ESS Leading Stock
C_126,사모대출리스크,Private Credit Risk
C_127,수직계열화,Vertical Integration
C_128,단기수혜예상,Expected Short-term Beneficiary
C_129,휴머노이드부품,Humanoid Components
C_130,전장부품공급처,Automotive Electronics Component Supplier
C_131,반도체패키징공급처,Semiconductor Packaging Supplier
C_132,미국/유럽타겟,US / Europe Target
C_133,국내타겟,Domestic Target
C_134,메이저4,Major 4
C_135,2개지주사체제,Two Holding Company Structure
C_136,원유/에너지종합,Oil & Energy Broad Exposure
C_137,원유선물1배,Crude Oil Futures 1x
C_138,국내유일 식각장비업체,Sole Domestic Etching Equipment Maker
C_139,건식글로벌1위(~40%),DryEtchGlobalNo1(~40%)
C_140,미국판당근마켓,US Version of Danggeun Market
C_141,대미투자1호,First Major U.S. Investment
C_142,글로벌표준(EMIB)선도,Global Standard (EMIB) Leadership
C_143,PE보유,Private Equity Ownership
C_144,세계유일상용화업체,World's Only Commercialized Company
C_145,커머스부가기능,Commerce Add-ons
C_146,고객획득퓨어플레이,Customer Acquisition Pureplay
C_147,중소형,SmallMidCap
C_148,대형,LargeCap
C_149,홍콩상장,ListedInHongKong
C_150,변동성축소수혜,VolatilityCompressionBeneficiary
C_151,달러약세반영,WeakDollarExposure
C_152,유가하락반영,OilPriceDeclineExposure
C_153,비트코인상승반영,BitcoinBullishExposure
C_154,미국증시상승반영,USStockMarketBullishExposure
C_155,금리하락반영,FallingRateExposure
C_156,인플레이션하락반영,DisinflationExposure
C_157,달러강세반영,StrongDollarExposure
C_158,인플레이션상승반영,RisingInflationExposure
C_159,금리상승반영,RisingRateExposure
C_160,미국증시하락반영,USStockMarketBearishExposure
C_161,비트코인하락반영,BitcoinBearishExposure
C_162,유가상승반영,OilPriceIncreaseExposure
C_163,변동성축소반영,VolatilityCompressionExposure
C_164,80~90년대IT산업기반구축,Laying the Foundation for the IT Industry in the 80s and 90s
C_165,HBM대신고속SRAM,High-speed SRAM Instead of HBM
C_166,중동AI매출80퍼센트,Middle East AI Sales 80%
C_167,엔비디아하락트렌드반영,Reflect NVIDIA Downward Trend
C_168,중국희토류30퍼센트,China Rare Earth 30%
C_169,단기채,Short-term Bond
C_170,중기채,Mid-term Bond
C_171,장기채,Long-term Bond
C_172,초장기채,Ultra Long-term Bond
C_173,금리하락베팅(X3),Rate-Cut Leveraged Bet 3X
C_174,인플레이션헤지,Inflation Hedge
C_175,월배당지급,Monthly Dividend Distribution
C_176,광우병_소고기대체,Mad Cow Disease - Beef Substitute
C_177,조류독감타격,Avian Influenza Impact
C_178,조류독감백신,Avian Influenza Vaccine
C_179,돼지열병타격,African Swine Fever Impact
C_180,코비드대응재,Covid Response Material
C_181,FDA임상1상진행,FDA Phase 1 Clinical Trial in Progress
C_182,상업화소요기간짧음,Short Commercialization Timeline
C_183,자체파이프라인상업화,In-house Pipeline Commercialization
C_184,클라우드 기반 장치 서비스,Cloud-based Device Service
C_185,인보사단일파이프라인,Invossa Single Pipeline
C_186,미국정부전략자산,US Government Strategic Asset
C_187,30년교체주기,30-Year Replacement Cycle
C_188,높은전환비용,High Switching Cost
C_189,안정적,Stable
C_190,유틸리티스케일,UtilityScale
C_191,세액공제의존,TaxCreditDependency
C_192,미국가정용,USResidential
C_193,유럽미국수요,EuropeUSDemand
C_194,중국인버터수입규제수혜,BenefitFromChineseInverterImportRegulations
C_195,EM수출확대중국내수덤핑,EMExportExpansionChineseDomesticDumping

C_196,K-자율주행대표주,KAutonomousDrivingFlagship
C_197,지배구조이슈민감,GovernanceIssueSensitive
C_198,고PER,HighPER
C_199,가격결정력,PricingPower
C_200,통화가치추종,CurrencyValueTracking
C_201,SMR대비 조기 상업화가능,EarlierCommercializationThanSMR
C_202,미국서부지역에집중,USWesternRegionConcentration
C_203,범용,Versatile
C_204,항암특화,OncologyFocused
C_205,우주데이터센터태양광기대,SpaceDataCenterSolarExpectation
C_206,실적불확실성,EarningsUncertainty
C_207,탄소소재원천기술,CarbonMaterialOriginTech
C_208,지배구조최정점,GovernanceApex
C_209,삼성전자지분10%,SamsungElectronicsStake10pct
C_210,배당자사주소각기대,DividendBuybackExpectation
C_211,실적싸이클동조화,EarningsCycleSync
C_212,중국시장침투,ChinaMarketPenetration
C_213,중저가브랜드,LowMidPriceBrand
C_214,바이오혁신,BiotechInnovation
C_215,방어적,Defensive
C_216,파트너십플랫폼전략,Partnership Platform Strategy
C_217,클라우드네이티브DBMS,Cloud-Native DBMS
C_218,분산엣지DBMS,Distributed Edge DBMS
C_219,전통DBMS1위,Traditional DBMS #1
C_220,NoSQL비정형리더,NoSQL Unstructured Data Leader
C_221,멀티클라우드분석,Multi-Cloud Analytics
C_222,대규모엔터프라이즈,Large Enterprise
C_223,국내증착기술원조,Domestic Deposition Technology Pioneer
C_224,글로벌점유율4위,Global Market Share #4
C_225,업체별사업분야차별화,OEM-Specific Business Differentiation
C_226,로봇반도체코어IP공급,Robotics Semi Core IP Supply
C_227,머신비전특화,Machine Vision Specialty
C_228,부품내재화비중높음,High Component Vertical Integration
C_229,레인보우감속기100%공급,Rainbow Reducer Sole Supplier
C_230,전세계주식시장투자,Global Equity Market Exposure
C_231,보안전문업체,Cybersecurity Specialist
C_232,AI팩토리업계표준,AI Factory Industry Standard
C_233,메모리AI인프라부티크통합자,Memory & AI Infra Boutique Integrator
C_234,무형자산해자,Intangible Asset Moat
C_235,전환비용해자,Switching Cost Moat
C_236,네트워크효과해자,Network Effect Moat
C_237,비용우위해자,Cost Advantage Moat
C_238,효율적규모해자,Efficient Scale Moat
C_239,워렌버핏철학,Warren Buffett Philosophy
C_240,모닝스타정립체계화,Morningstar MOAT Framework
C_241,간접적수혜,Indirect Beneficiary
C_242,엔비디아루빈공급망,NVIDIA Rubin Supply Chain
C_243,고마진AI회로박확대,High-Margin AI Circuit Foil Expansion
C_244,액침냉각코스닥대표주,Immersion Cooling KOSDAQ Leader
C_245,랙단위인프라수요,Rack-level Infrastructure Demand
C_246,AIPC칩전개2H26,NVIDIA AI PC Chip Launch 2H26
C_247,인텔AMD위협,Threat to Intel & AMD
C_248,엔비디아공동설계파트너,NVIDIA Co-Design Partner
C_249,IP로열티추가수혜,IP Royalty Upside
C_250,최대수혜OEM,Top Beneficiary OEM
C_251,엔트로픽지분투자한국,Equity Investment in Anthropic (Korea)
C_252,엔비디아협력기대,NVIDIA Partnership Expectation
C_253,트래픽감소우려,Traffic Decline Concern
C_254,엔비디아젠슨황SUPPORT,Endorsed by NVIDIA Jensen Huang
C_255,인력차익모델잠식,Headcount Arbitrage Erosion
C_256,인지노동직접대체,Cognitive Labor Substitution
C_257,콘텐츠구독moat잠식,Content Subscription Moat Erosion
C_258,중개마진디스인터미디에이션,Marketplace Disintermediation
C_259,거래량적음최소배당고정형,Low Volume and Min-Dividend Fixed
C_260,다중테마교집합,Multi-Theme Intersection
C_261,고확신선별,High-Conviction Selection
C_262,동일가중구조,Equal-Weight Structure
C_263,BTC의존데이터센터전환,BTC Mining + AI DataCenter Pivot Hybrid
C_264,BTC탈피지향,BTC Exit Orientation
C_265,순수네오클라우드,Pure Neo Cloud GPU
C_266,100퍼센트피벗BTC미보유,100Pct Pivot No BTC Holdings
C_267,최대수수료수익잠재력,Highest Fee Revenue Potential
C_268,인프라완성도높음,Mature Infrastructure
C_269,조각투자플랫폼보유,Fractional Investment Platform Owner
C_270,미국현지생산관세방어,US Local Production Tariff Defensive
C_271,쏘캠수요저하우려,SoCAMM Demand Erosion Concern
C_272,엔비디아공식파트너십,NVIDIA Official Partnership
C_273,피지컬AI플랫폼채택,Physical AI Platform Adopter
C_274,K-로봇생태계,Korean Robotics Ecosystem
C_275,NACS표준전환수혜,NACS Standard Transition Beneficiary
C_276,CPO수익성부진,CPO Profitability Concern
C_277,정책보조금민감,Policy Subsidy Sensitive
C_278,EV충전인프라운영자,EV Charging Infrastructure Operator
C_279,DC급속충전기제조,DC Fast Charger Manufacturer
C_280,인구고령화수혜,Population Aging Beneficiary
C_281,펫휴머니제이션트렌드,Pet Humanization Trend
C_282,AI광고최적화플랫폼,AI Ad Optimization Platform
C_283,프로그래매틱광고,Programmatic Advertising
C_284,멀티플랫폼전략,Multi-platform Strategy
C_285,레벨4자율주행상용화,Level 4 Autonomy Commercialization
C_286,물류비용절감,Logistics Cost Reduction
C_287,식량안보메가트렌드,Food Security Megatrend
C_288,기후변화대응농업,Climate-resilient Agriculture
C_289,펜타곤제재리스트편입,Pentagon Sanction List Inclusion
C_290,13F빅머니추적,Big Money 13F Tracking
C_291,활동주의캠페인,Activist Investor Campaign
C_292,매크로숏셀러,Macro Short Seller
C_293,리스크패리티분산,Risk Parity Diversification
C_294,매크로마스터,Macro Master
C_295,가치투자절대수익,Value Investing Absolute Return
C_296,중국역베팅,China Contrarian Bet
C_297,테크long헷지,Tech Long-Short Hedge
C_298,비상장상장crossover,Private-Public Crossover
C_299,채권매크로마스터,Bond Macro Master
C_300,활동주의캠페인_special situations,Activist Special Situations
C_301,가치주long숏셀러,Value Long-Short Seller
C_302,금베팅매크로,Gold Macro Bet
C_303,distressed credit사이클,Distressed Credit Cycle
C_304,비트코인자산화,Bitcoin Treasury Bet
C_305,비트코인treasury전략,Bitcoin Treasury Strategy
C_306,SWF글로벌분산,Sovereign Wealth Fund Global Diversification
C_307,SovereignVision2030,Sovereign Vision 2030 Bet
C_308,숏셀러target,Short Seller Target
C_309,중국기업숏셀러target,China Equity Short Seller Target
C_310,단일거장가치투자,Solo Veteran Value Investor
C_311,매크로빌리어네어,Macro Billionaire View
C_312,공적연기금글로벌분산,Public Pension Global Diversification
C_313,SWF직접투자,SWF Direct Investment
C_314,quant수학거장,Quant Mathematical Master
C_315,데이터사이언스AI운용,Data Science AI-Driven Fund
C_316,멀티전략pod,Multi-strategy Pod Hedge Fund
C_317,핵융합상업화수혜,Fusion Commercialization Beneficiary
C_318,글로벌해운사이클,Global Shipping Cycle
C_319,글로벌항공기복항사이클,Global Aircraft Recovery Cycle
C_320,송전망노후화수혜,Aging Grid Infrastructure Beneficiary
C_321,OEM듀오폴리,Aircraft OEM Duopoly
C_322,OEM도전자,Aircraft OEM Challenger
C_323,항공엔진메이저,Aircraft Engine Major
C_324,항공공급망,Aircraft Supply Chain
C_325,방산연계항공,Defense-linked Aviation
C_326,차이나대체노출,China Replacement Exposure
C_327,미국공장이전수혜,US Nearshoring Beneficiary
C_328,호주광산메가,Australia Mining Mega
C_329,글로벌QSR,Global QSR Restaurant
C_330,LTL장거리트럭,LTL Long-haul Trucking
C_331,AIDC부동산REIT,AI Data Center REIT
C_332,폐기물처리메가,Waste Management Mega
C_333,음악IP라이센싱,Music IP Licensing
C_334,미국폐기물1위_배당챔피언,US Waste #1 Dividend Champion
C_335,미국폐기물2위_안정성장,US Waste #2 Stable Growth
C_336,M&A성장모델,M&A Growth Model
C_337,글로벌수자원통합,Global Water + Waste Integration
C_338,동부지역특화소형,US East-coast Niche Small-cap
C_339,헬스음료메가트렌드,Health Beverage Megatrend
C_340,에너지드링크1티어,Energy Drink Tier 1
C_341,음료거장,Beverage Veteran
C_342,맥주글로벌,Global Beer
C_343,차세대특수음료,Next-gen Specialty Beverage
C_344,유럽럭셔리거장,European Luxury Veteran
C_345,유럽자동차OEM,European Auto OEM
C_346,유럽제약거장,European Pharma Veteran
C_347,유럽풍력재생에너지,European Wind & Renewable
C_348,글로벌럭셔리1위,Global Luxury #1
C_349,가격결정력최강,Pricing Power Champion
C_350,Gucci회복도전,Gucci Recovery Bet
C_351,시계보석Cartier,Watches & Jewelry (Cartier)
C_352,영국럭셔리turnaround,UK Luxury Turnaround
C_353,이탈리아다운자켓1위,Italy Down Jacket #1
C_354,그룹규모1위,Group Scale #1
C_355,럭셔리세단포지셔닝,Luxury Sedan Positioning
C_356,Stellantis통합비효율,Stellantis Integration Inefficiency
C_357,럭셔리스포츠1위,Luxury Sports Car #1
C_358,슈퍼카가격결정력,Supercar Pricing Power
C_359,프랑스+신흥국,France+EM Auto
C_360,Geely소유EV전환,Geely-owned EV Transition
C_361,GLP-1비만약1위,GLP-1 Anti-obesity #1
C_362,진단+종양Roche,Diagnostics + Oncology (Roche)
C_363,Novartis차세대,Novartis Next-gen
C_364,Dupixent아토피Sanofi,Dupixent Atopy (Sanofi)
C_365,AstraZeneca종양,AstraZeneca Oncology
C_366,GSK_RSV_HIV,GSK RSV/HIV
C_367,Bayer농업제약통합,Bayer Pharma + AgChem
C_368,풍력터빈1위,Wind Turbine #1
C_369,해상풍력운영1위,Offshore Wind Operator #1
C_370,스페인재생메이저,Spain Renewable Major
C_371,포르투갈재생,Portugal Renewable
C_372,영국풍력,UK Wind
C_373,라틴디지털뱅킹,LATAM Digital Banking
C_374,라틴결제,LATAM Payments
C_375,아프리카모바일머니,Africa Mobile Money
C_376,동남아슈퍼앱,SE Asia Super App
C_377,중앙아시아슈퍼앱,Central Asia Super App
C_378,인도결제,India Payments
C_379,글로벌신흥국결제게이트웨이,Global EM Payment Gateway
C_380,유럽은행메이저,European Bank Major
C_381,유럽통신메이저,European Telecom Major
C_382,글로벌철강통합,Global Steel Consolidation
C_383,글로벌시멘트인프라,Global Cement Infrastructure
C_384,글로벌카메라렌즈,Global Camera & Lens
C_385,미국RV베이비부머,US RV Baby Boomer Retirement
C_386,글로벌철강1위,Global Steel #1
C_387,아시아철강거장,Asia Steel Veteran
C_388,미국BOF통합전로,US BOF Integrated
C_389,미국EAF미니밀,US EAF Mini-mill
C_390,글로벌시멘트빅3,Global Cement Big3
C_391,미국골재거장,US Aggregate Veteran
C_392,미국시멘트niche,US Cement Niche
C_393,이미지센서글로벌1위,Image Sensor Global #1
C_394,카메라전통강자,Traditional Camera Veteran
C_395,필름vintage_의료영상,Film Vintage + Medical Imaging
C_396,미국RVOEM,US RV OEM
C_397,미국RV부품,US RV Components
C_398,미국RV딜러,US RV Dealer
C_399,eVTOL미국1티어,US eVTOL Tier 1
C_400,eVTOL유럽,European eVTOL
C_401,eVTOL라틴브라질Embraer,LATAM eVTOL (Embraer)
C_402,자동차OEM협력eVTOL,Auto-OEM Backed eVTOL
C_403,비상장개발중eVTOL,Private eVTOL in Development
C_404,글로벌niche독점,Global Niche Monopoly
C_405,럭셔리니치가격결정력,Luxury Niche Pricing Power
C_406,산업니치독점,Industrial Niche Monopoly
C_407,의료기기니치독점,Medical Device Niche Monopoly
C_408,데이터플랫폼니치독점,Data Platform Niche Monopoly
C_409,보호된해자독점과점,Protected Moat (Monopoly/Oligopoly)
C_410,가격결정력_인플레전가,Pricing Power - Inflation Pass-through
C_411,안정ROIC20pct,Stable ROIC 20%+
C_412,BuyBuild인수합병,Buy & Build M&A Model
C_413,장기복리효과_30년,Long-term Compounding 30+ Years
C_414,DAX40독일메가캡,DAX 40 German Megacaps
C_415,CAC40프랑스메가캡,CAC 40 French Megacaps
C_416,FTSE100영국메가캡,FTSE 100 UK Megacaps
C_417,스위스SMI안정거장,Swiss SMI Stable Masters
C_418,북유럽HiddenChampion,Nordic Hidden Champions
C_419,유럽반도체밸류체인,European Semi Value Chain
C_420,유럽산업자동화메이저,European Industrial Automation
C_421,유럽식음료거장,European F&B Masters
C_422,유럽SaaS거장,European SaaS Masters
C_423,유럽화학메이저,European Chemicals Majors
C_424,유럽자동차부품,European Auto Parts
C_425,유럽미디어엔터,European Media & Entertainment
C_426,K뷰티신흥마이크로브랜드,K-Beauty Indie Micro Brands
C_427,K뷰티위탁생산엔진,K-Beauty ODM Engine
C_428,K양극재밸류체인,K-Cathode Material Value Chain
C_429,K배터리리사이클메이저,K-Battery Recycling Major
C_430,K위탁생산바이오,K-Bio CDMO Engine
C_431,K산업SW거장,K-Industrial SaaS Masters
C_432,K헬스케어DX_원격진료,K-Healthcare DX & Telemedicine
C_433,구독제AI개발자금확보,Subscription Funded AI R&D
C_434,광고수입97pct편중지속,Ad Revenue 97pct Concentration
C_435,AI다각화난항vs경쟁사,AI Diversification Lag vs Peers
C_436,레거시중심_첨단전환중,Legacy Core - Advanced Pivot In Progress
C_437,장비공정수직통합,Equipment-Process Vertical Integration
C_438,미국익스프레스1위_MemphisHub,US Express #1 - Memphis Hub
C_439,미국통합물류2위_WorldportHub,US Integrated Logistics #2 - Worldport
C_440,글로벌포워딩1위_ExpressDHL,Global Forwarding #1 - DHL Express
C_441,AmazonAir화물기lease,Amazon Air Freighter Lessor
C_442,캐나다화물전용_AmazonCA파트너,Canada Cargo Only - Amazon CA Partner
C_443,중국익스프레스1위_자사화물기,China Express #1 - Self-Owned Fleet
C_444,아시아화물1위_HK,Asia Cargo #1 - Hong Kong
C_445,일본NipponCargoAirlines,Japan - Nippon Cargo Airlines
C_446,화물매출30pct비중,Cargo Revenue 30pct Share
C_447,AI반도체호황수혜,AI Semi Boom Beneficiary
C_448,독일LufthansaCargo,Germany - Lufthansa Cargo
C_449,AI데이터파이프라인_차세대SaaS,AI Data Pipeline Next-Gen SaaS
C_450,LEO위성통신네트워크,LEO Satellite Comm Network
C_451,클라우드DW_CortexAI,Cloud Data Warehouse + Cortex AI
C_452,NoSQL_VectorSearchRAG,NoSQL + Vector Search (RAG)
C_453,Kafka매니지드_TableflowIceberg,Managed Kafka + Tableflow Iceberg
C_454,관측SaaS_LLMObs,Observability SaaS + LLM Obs
C_455,IaC_IBM인수진행,IaC + IBM Acquisition
C_456,Search_ELK_VectorSearch,Search + ELK + Vector Search
C_457,GEO_MEO_O3bmPOWER_Intelsat인수,GEO+MEO O3b mPOWER + Intelsat M&A
C_458,OneWebLEO648_영국정부,OneWeb LEO 648 + UK Government
C_459,D2D스마트폰_ATT_Verizon_Vodafone,D2D Smartphone - AT&T Verizon Vodafone
C_460,Apple_iPhoneSOS독점,Apple iPhone Emergency SOS Exclusive
C_461,1세대LEO66_DoD,1st Gen LEO 66 + DoD
C_462,항공기IFC_Inmarsat통합,Aviation IFC + Inmarsat Integrated
C_463,카드네트워크듀오폴리,Card Network Duopoly
C_464,럭셔리T_E_고소득카드,Luxury T&E High-income Card
C_465,카드_미국소비대출통합,Card + US Consumer Lending
C_466,디지털결제전환_온라인,Digital Payment Online Transition
C_467,핀테크통합_BTC_캐시앱,Fintech Integrated - BTC + Cash App
C_468,DC_REIT_인터커넥션메가,DC REIT - Interconnection Mega
C_469,DC_REIT_엔터프라이즈하이퍼스케일,DC REIT - Enterprise + Hyperscale
C_470,기록관리_DC병합,Records Mgmt + DC Combo
C_471,미국DC운영_비상장,US DC Operator (Private)
C_472,호주DC1위,Australia DC #1
C_473,e커머스플러스클라우드_타오바오티몰,E-commerce + Cloud - Taobao Tmall
C_474,위챗_게임1위_디지털광고_텐센트,WeChat + Gaming #1 + Digital Ad
C_475,직판e커머스플러스물류_JD,Direct E-commerce + Logistics
C_476,PDD플러스Temu글로벌침투,PDD + Temu Global Penetration
C_477,음식배달1위_로컬서비스_메이투안,Food Delivery #1 + Local Services
C_478,검색_ERNIE_Apollo자율주행_바이두,Search + ERNIE + Apollo Autonomous
C_479,숏폼영상_라이브커머스_콰이쇼우,Short Video + Live Commerce
C_480,중국게임거장_NetEase,China Game Master
C_481,글로벌OTA_Skyscanner_트립닷컴,Global OTA + Skyscanner
C_482,Z세대영상플러스게임_빌리빌리,Gen-Z Video + Games
C_473,남북경협_정책모멘텀,Inter-Korean Cooperation Policy Momentum
C_474,지정학이벤트민감,Geopolitical Event Sensitive
C_475,개성공단재개수혜,Kaesong Industrial Complex Restart Beneficiary
C_476,접경지개발수혜,Border Region Development Beneficiary
C_477,대북송전수혜,Power Transmission to North Korea Beneficiary
C_478,K드라마IP거장,K-Drama IP Master
C_479,K드라마제작1위,K-Drama Production #1
C_480,SBS드라마IP,SBS Drama IP
C_481,웹툰IP1위,Webtoon IP #1
C_482,식물성패티1위,Plant-based Patty #1
C_483,식물성귀리음료1위,Plant-based Oat Milk #1
C_484,캐나다대체단백질,Canadian Alternative Protein
C_485,유기농식품메이저,Organic Food Major
C_486,유럽냉동식품메이저,European Frozen Food Major
C_487,풀서비스다이닝거장,Full-Service Dining Master
C_488,패스트캐주얼브리토1위,Fast Casual Burrito #1
C_489,지중해패스트캐주얼,Mediterranean Fast Casual
C_490,친환경샐러드볼,Eco Salad Bowl
C_491,미국스테이크하우스1위,US Steakhouse #1
C_492,카주얼다이닝Chilis,Casual Dining Chili's
C_493,글로벌웹툰플랫폼_봄툰델리툰,Global Webtoon Platform - Bomtoon Delitoon
C_509,Kisunla_도나네맙_FDA승인,Kisunla (Donanemab) FDA Approved
C_510,Leqembi_Biogen공동개발,Leqembi - Biogen Co-developed
C_511,Leqembi_아시아판권_Aricept,Leqembi Asia Rights + Aricept
C_512,Trontinemab_차세대BBB통과,Trontinemab - Next-gen BBB Penetration
C_513,Simufilam_필라민_표적,Simufilam - Filamin-1 Target
C_514,Buntanetap_다중기능_신경보호,Buntanetap - Multi-functional Neuroprotection
C_515,Tagrisso_Enhertu폐암유방암,Tagrisso + Enhertu Lung·Breast
C_516,Enhertu_HER2_ADC_1위,Enhertu - HER2 ADC #1
C_517,mRNA_ADC_플랫폼확장,mRNA + ADC Platform Expansion
C_518,Dolasynthen_ADC_플랫폼,Dolasynthen ADC Platform
C_519,Keytruda_PD1_1위,Keytruda - PD-1 #1
C_520,Opdivo_Yervoy_면역항암,Opdivo + Yervoy Immuno-onco
C_521,Libtayo_PD1_니치,Libtayo - PD-1 Niche
C_522,Humira_LOE_Skyrizi전환,Humira LOE → Skyrizi Pivot
C_523,Stelara_Tremfya_IL23,Stelara + Tremfya IL-23
C_524,Otezla_MariTide_광범위,Otezla + MariTide Broad
C_525,Dupixent_Sanofi공동개발,Dupixent - Sanofi Co-developed
C_526,Dupixent_Beyfortus_공동,Dupixent + Beyfortus Joint
C_527,Sotyktu_TYK2_first,Sotyktu - TYK2 First-in-class
C_528,Rezdiffra_MASH첫FDA,Rezdiffra - First MASH FDA
C_529,Efruxifermin_FGF21_MASH,Efruxifermin FGF21 MASH
C_530,VK2735_GLP1_듀얼,VK2735 GLP-1 Dual
C_531,Pegozafermin_FGF21경쟁,Pegozafermin FGF21 Rival
C_532,Aficamten_HCM심부전,Aficamten HCM/HF
C_533,Brensocatib_호흡기희귀,Brensocatib Rare Pulm
C_534,Eylea_HD_고용량_시밀러방어,Eylea HD Defense vs Biosimilar
C_535,Vabysmo_이중특이항VEGF,Vabysmo Bispecific Anti-VEGF
C_536,Eylea_EU공동판권,Eylea EU Co-rights
C_537,Lucentis_Beovu_Susvimo,Lucentis + Beovu + Susvimo
C_538,ONS5010_저비용망막주사,ONS-5010 Low-cost Retinal
C_539,ANX007_GA_AMD말기,ANX007 GA (Late AMD)
C_540,Trikafta_CF_독점,Trikafta CF Monopoly
C_541,Voxzogo_왜소증_Roctavian,Voxzogo Achondroplasia
C_542,Elevidys_DMD_유전자치료,Elevidys DMD Gene Therapy
C_543,Crysvita_UX111_희귀골뇌,Crysvita + UX111 Rare Bone/Brain
C_544,Kresladi_LAD1_유전자치료,Kresladi LAD-I Gene Therapy
C_545,siRNA_ATTR_Amvuttra,siRNA ATTR - Amvuttra
