bf_id,business_field_ko,business_field_en
BF_379,DevOps,DevOps
BF_380,배포자동화,DeploymentAutomation
BF_381,자동화/백오피스,AutomationBackOffice
BF_382,데이터/AI,DataAI
BF_383,마케팅/고객획득,MarketingCustomerAcquisition
BF_384,클라우드인프라,CloudInfrastructure
BF_385,추론특화칩설계,Inference Specialized Chip Design
BF_386,기초유분/범용수지,Basic Oil & General-purpose Resin
BF_387,합성고무,Synthetic Rubber
BF_388,스페셜티/정밀화학,Specialty / Fine Chemicals
BF_389,통신네트워크장비,Telecommunications Network Equipment
BF_390,기지국장비,Base Station Equipment
BF_391,광통신부품,Optical Communication Components
BF_392,커넥터/안테나,Connector / Antenna
BF_393,해상위성통신,Maritime Satellite Communication
BF_394,데이터센터반도체소재,SemiconductorMaterialsForDataCenters
BF_395,완제품,FinishedProducts
BF_396,핵심부품,CoreComponents
BF_397,배터리/ESS,Battery / ESS
BF_398,PC/노트북,PC / Laptop
BF_399,서버/인프라,Server / Infrastructure
BF_400,네트워크장비,Network Equipment
BF_401,반도체/CPU,Semiconductor / CPU
BF_402,기업소프트웨어,Enterprise Software
BF_403,모바일AP/통신칩,Mobile AP / Telecom Chip
BF_404,클라우드플랫폼,Cloud Platform
BF_405,웨이퍼스케일칩제조,Wafer Scale Chip Manufacturing
BF_406,AI칩통합랙,AI Chip Integration Rack
BF_407,클라우드서비스,Cloud Service
BF_408,중국 AI LLM 플랫폼,China AI LLM Platform
BF_409,중국 AI 가속기 반도체,China AI Accelerator Chip
BF_410,중국 AI 클라우드 인프라,China AI Cloud Infrastructure
BF_411,의료관광플랫폼,Medical Tourism Platform
BF_412,면세점백화점,Duty Free Department Store
BF_413,안티에이징미용,Anti-aging Beauty
BF_414,미용의료기기,Beauty Medical Devices
BF_415,카지노,Casino
BF_416,AI광통신장비,AI Optical Communication Equipment
BF_417,PN계열제조,Polynucleotide-based Manufacturing
BF_418,ECM계열제조,Extracellular Matrix Manufacturing
BF_419,콜라겐주입재,Collagen and HA Injectable Products
BF_420,에스테틱전문유통,Aesthetic Specialty Distribution
BF_421,비료원료암모니아생산유통,Fertilizer Feedstock Ammonia Production and Distribution
BF_422,Reducer / Gearbox,Reducer / Gearbox
BF_423,Robot Camera Module,Robot Camera Module
BF_424,Wearable Parts Manufacturing,Wearable Parts Manufacturing
BF_425,Vision Software,Vision Software
BF_426,셰일오일,Shale Oil
BF_427,셰일가스,Shale Gas
BF_428,암모니아원료생산/저장/유통,Ammonia Feedstock Production/Storage/Distribution
BF_429,석탄채굴/발전연료,Coal Mining / Power Generation Fuel
BF_430,비섬유계사료첨가제,Non-fiber Feed Additives
BF_431,건설,Construction
BF_432,화학/섬유,Chemical / Textile
BF_433,이커머스,E-commerce
BF_434,택배/운송,Courier / Logistics
BF_435,레거시CPU,Legacy CPU
BF_436,하이퍼스케일러CPU,Hyperscaler CPU
BF_437,장비,Equipment
BF_438,전해액/전해질,Electrolyte
BF_439,스타게이트PJT,Stargate Project
BF_440,게임,Gaming
BF_441,오피스SW,Office Software
BF_442,메모리,Memory
BF_443,GLP-1기반비만치료제,GLP-1 Based Obesity Treatment
BF_444,경구용치료제,Oral Therapeutics
BF_445,차량전장,Automotive Electronics
BF_446,가전IoT,Home Appliance IoT
BF_447,분리막,Separator Membrane
BF_448,배터리리사이클링,Battery Recycling
BF_449,풍력발전,Wind Power Generation
BF_450,전력인프라통합,Power Infrastructure Integration
BF_451,HVDC변환기,HVDC Converter
BF_452,SMR설계/플랫폼,SMR Design / Platform
BF_453,농기계,Agricultural Machinery
BF_454,B-21폭격기,B-21 Raider Stealth Bomber
BF_455,F-35전투기,F-35 Stealth Fighter
BF_456,패트리엇방공시스템,Patriot Air Defense System
BF_457,정밀타격무기,Precision Strike Weapons
BF_458,지열발전,Geothermal Power Generation
BF_459,AIDC에너지통합인프라REITs,AIDC Energy Integrated Infrastructure REITs
BF_460,탈모치료제개발,Hair Loss Treatment Development
BF_461,DTC플랫폼,DTC Platform
BF_462,한국시장유통,Korean Market Distribution
